signal_id,system_name,data_product_id,metric_name,metric_value,threshold,status,severity,measured_at,owner,recommended_action,name,domain,business_criticality
SIG-00001,data_quality_command_center,DP-001,quality_score,85.66,75,healthy,low,2026-05-20T21:21:43.489754+00:00,Customer Platform,Monitor.,customer_360,customer,critical
SIG-00002,data_quality_command_center,DP-001,freshness_status,69.52,75,degraded,high,2026-05-20T21:21:43.489765+00:00,Customer Platform,Investigate and remediate.,customer_360,customer,critical
SIG-00003,data_quality_command_center,DP-001,quarantine_rate,91.01,75,healthy,low,2026-05-20T21:21:43.489771+00:00,Customer Platform,Monitor.,customer_360,customer,critical
SIG-00004,data_quality_command_center,DP-001,ai_readiness_score,93.29,75,healthy,low,2026-05-20T21:21:43.489777+00:00,Customer Platform,Monitor.,customer_360,customer,critical
SIG-00005,data_quality_command_center,DP-002,quality_score,58.59,75,degraded,high,2026-05-20T21:21:43.489784+00:00,Finance Analytics,Investigate and remediate.,revenue_metrics,finance,critical
SIG-00006,data_quality_command_center,DP-002,freshness_status,66.37,75,degraded,high,2026-05-20T21:21:43.489789+00:00,Finance Analytics,Investigate and remediate.,revenue_metrics,finance,critical
SIG-00007,data_quality_command_center,DP-002,quarantine_rate,83.53,75,watch,medium,2026-05-20T21:21:43.489794+00:00,Finance Analytics,Monitor.,revenue_metrics,finance,critical
SIG-00008,data_quality_command_center,DP-002,ai_readiness_score,78.21,75,watch,medium,2026-05-20T21:21:43.489799+00:00,Finance Analytics,Monitor.,revenue_metrics,finance,critical
SIG-00009,data_quality_command_center,DP-003,quality_score,81.8,75,watch,medium,2026-05-20T21:21:43.489807+00:00,Fraud MLOps,Monitor.,fraud_detection_features,risk,critical
SIG-00010,data_quality_command_center,DP-003,freshness_status,71.76,75,watch,medium,2026-05-20T21:21:43.489812+00:00,Fraud MLOps,Monitor.,fraud_detection_features,risk,critical
SIG-00011,data_quality_command_center,DP-003,quarantine_rate,92.55,75,healthy,low,2026-05-20T21:21:43.489817+00:00,Fraud MLOps,Monitor.,fraud_detection_features,risk,critical
SIG-00012,data_quality_command_center,DP-003,ai_readiness_score,91.33,75,healthy,low,2026-05-20T21:21:43.489822+00:00,Fraud MLOps,Monitor.,fraud_detection_features,risk,critical
SIG-00013,data_quality_command_center,DP-004,quality_score,82.79,75,watch,medium,2026-05-20T21:21:43.489827+00:00,Payments Risk,Monitor.,payment_risk_scoring,risk,critical
SIG-00014,data_quality_command_center,DP-004,freshness_status,95.53,75,healthy,low,2026-05-20T21:21:43.489832+00:00,Payments Risk,Monitor.,payment_risk_scoring,risk,critical
SIG-00015,data_quality_command_center,DP-004,quarantine_rate,87.61,75,healthy,low,2026-05-20T21:21:43.489836+00:00,Payments Risk,Monitor.,payment_risk_scoring,risk,critical
SIG-00016,data_quality_command_center,DP-004,ai_readiness_score,71.69,75,watch,medium,2026-05-20T21:21:43.489841+00:00,Payments Risk,Monitor.,payment_risk_scoring,risk,critical
SIG-00017,data_quality_command_center,DP-005,quality_score,86.43,75,healthy,low,2026-05-20T21:21:43.489846+00:00,GenAI Platform,Monitor.,enterprise_rag_search,ai_platform,high
SIG-00018,data_quality_command_center,DP-005,freshness_status,70.49,75,watch,medium,2026-05-20T21:21:43.489851+00:00,GenAI Platform,Monitor.,enterprise_rag_search,ai_platform,high
SIG-00019,data_quality_command_center,DP-005,quarantine_rate,92.54,75,healthy,low,2026-05-20T21:21:43.489855+00:00,GenAI Platform,Monitor.,enterprise_rag_search,ai_platform,high
SIG-00020,data_quality_command_center,DP-005,ai_readiness_score,81.4,75,watch,medium,2026-05-20T21:21:43.489860+00:00,GenAI Platform,Monitor.,enterprise_rag_search,ai_platform,high
SIG-00021,data_quality_command_center,DP-006,quality_score,79.78,75,watch,medium,2026-05-20T21:21:43.489865+00:00,Support Analytics,Monitor.,support_intelligence,operations,high
SIG-00022,data_quality_command_center,DP-006,freshness_status,73.83,75,watch,medium,2026-05-20T21:21:43.489870+00:00,Support Analytics,Monitor.,support_intelligence,operations,high
SIG-00023,data_quality_command_center,DP-006,quarantine_rate,96.67,75,healthy,low,2026-05-20T21:21:43.489874+00:00,Support Analytics,Monitor.,support_intelligence,operations,high
SIG-00024,data_quality_command_center,DP-006,ai_readiness_score,80.15,75,watch,medium,2026-05-20T21:21:43.489879+00:00,Support Analytics,Monitor.,support_intelligence,operations,high
