signal_id,system_name,data_product_id,metric_name,metric_value,threshold,status,severity,measured_at,owner,recommended_action,name,domain,business_criticality
SIG-00004,data_quality_command_center,DP-001,ai_readiness_score,93.29,75,healthy,low,2026-05-20T21:21:43.489777+00:00,Customer Platform,Monitor.,customer_360,customer,critical
SIG-00008,data_quality_command_center,DP-002,ai_readiness_score,78.21,75,watch,medium,2026-05-20T21:21:43.489799+00:00,Finance Analytics,Monitor.,revenue_metrics,finance,critical
SIG-00012,data_quality_command_center,DP-003,ai_readiness_score,91.33,75,healthy,low,2026-05-20T21:21:43.489822+00:00,Fraud MLOps,Monitor.,fraud_detection_features,risk,critical
SIG-00016,data_quality_command_center,DP-004,ai_readiness_score,71.69,75,watch,medium,2026-05-20T21:21:43.489841+00:00,Payments Risk,Monitor.,payment_risk_scoring,risk,critical
SIG-00020,data_quality_command_center,DP-005,ai_readiness_score,81.4,75,watch,medium,2026-05-20T21:21:43.489860+00:00,GenAI Platform,Monitor.,enterprise_rag_search,ai_platform,high
SIG-00024,data_quality_command_center,DP-006,ai_readiness_score,80.15,75,watch,medium,2026-05-20T21:21:43.489879+00:00,Support Analytics,Monitor.,support_intelligence,operations,high
SIG-00028,data_quality_command_center,DP-007,ai_readiness_score,86.39,75,healthy,low,2026-05-20T21:21:43.489897+00:00,AI Governance,Monitor.,ai_governance_gateway,governance,critical
SIG-00032,data_quality_command_center,DP-008,ai_readiness_score,77.12,75,watch,medium,2026-05-20T21:21:43.489917+00:00,Analytics Engineering,Monitor.,semantic_metrics_layer,governance,critical
SIG-00036,data_quality_command_center,DP-009,ai_readiness_score,95.55,75,healthy,low,2026-05-20T21:21:43.489935+00:00,Data Quality,Monitor.,data_quality_certification,governance,critical
SIG-00040,data_quality_command_center,DP-010,ai_readiness_score,89.81,75,healthy,low,2026-05-20T21:21:43.489954+00:00,Data Platform,Monitor.,pipeline_reliability_monitoring,operations,critical
SIG-00044,data_quality_command_center,DP-011,ai_readiness_score,84.79,75,watch,medium,2026-05-20T21:21:43.489973+00:00,Supply Chain Analytics,Monitor.,supply_chain_risk_monitoring,operations,medium
SIG-00048,data_quality_command_center,DP-012,ai_readiness_score,84.68,75,watch,medium,2026-05-20T21:21:43.490054+00:00,Executive Analytics,Monitor.,executive_reporting_mart,executive,critical
SIG-00050,enterprise_rag_evaluation_lab,DP-001,citation_coverage,82.81,75,watch,medium,2026-05-20T21:21:43.491456+00:00,Customer Platform,Monitor.,customer_360,customer,critical
SIG-00051,enterprise_rag_evaluation_lab,DP-001,hallucination_risk,35.36,75,watch,medium,2026-05-20T21:21:43.491463+00:00,Customer Platform,Monitor.,customer_360,customer,critical
SIG-00052,enterprise_rag_evaluation_lab,DP-001,rag_trust_score,64.51,75,degraded,high,2026-05-20T21:21:43.491468+00:00,Customer Platform,Investigate and remediate.,customer_360,customer,critical
SIG-00054,enterprise_rag_evaluation_lab,DP-002,citation_coverage,76.36,75,watch,medium,2026-05-20T21:21:43.491481+00:00,Finance Analytics,Monitor.,revenue_metrics,finance,critical
SIG-00055,enterprise_rag_evaluation_lab,DP-002,hallucination_risk,19.05,75,healthy,low,2026-05-20T21:21:43.491486+00:00,Finance Analytics,Monitor.,revenue_metrics,finance,critical
